strikes,ois
34000.0,75.0
40000.0,104.91
44000.0,0.2
45000.0,117.69999999999999
48000.0,4.3
50000.0,249.05
52000.0,6.029999999999999
53000.0,2.41
54000.0,126.92
55000.0,40.95
56000.0,1.2400000000000002
57000.0,0.1
58000.0,17.19
59000.0,0.7
60000.0,16.81
61000.0,0.31
62000.0,4.63
63000.0,2.12
64000.0,11.62
64500.0,0.6
65000.0,21.78
65500.0,1.06
66000.0,2.52
67000.0,117.28
68000.0,10.55
69000.0,4.819999999999999
69500.0,0.06
70000.0,90.97
71000.0,1.6
72000.0,33.46
73000.0,2.86
74000.0,1.92
75000.0,40.230000000000004
76000.0,11.12
77000.0,0.15000000000000002
78000.0,79.38
79000.0,21.9
80000.0,112.80000000000001
81000.0,2.23
82000.0,58.44
83000.0,0.93
84000.0,0.3
85000.0,151.94
86000.0,50.3
87000.0,0.17
88000.0,10.0
89000.0,0.26
90000.0,393.74
91000.0,0.06
93000.0,1.1
94000.0,8.96
95000.0,106.28
96000.0,0.08
98000.0,0.83
100000.0,65.23
104000.0,0.5
105000.0,63.03
110000.0,22.53
115000.0,17.66
120000.0,34.57
130000.0,4.3100000000000005
135000.0,0.1
140000.0,30.310000000000002
150000.0,26.89
160000.0,20.09
54000.0,43.5
68000.0,2.41
70000.0,13.36
72000.0,2.85
74000.0,6.94
75000.0,0.27
76000.0,10.91
78000.0,7.26
80000.0,13.12
84000.0,0.58
85000.0,30.95
90000.0,12.290000000000001
95000.0,32.47
100000.0,32.53
105000.0,20.7
110000.0,23.29
120000.0,14.19
130000.0,4.13
5000.0,0.15
10000.0,205.64
15000.0,245.6
20000.0,282.63
22000.0,154.2
24000.0,168.5
25000.0,1438.65
26000.0,182.82000000000002
27000.0,0.03
28000.0,238.4
29000.0,0.1
30000.0,220.64
31000.0,2.01
32000.0,190.7
33000.0,1.14
34000.0,249.54999999999998
35000.0,514.47
36000.0,517.84
37000.0,4.14
38000.0,371.65000000000003
39000.0,6.0
40000.0,506.85
41000.0,7.5
42000.0,432.5
43000.0,1.5
44000.0,501.0
45000.0,520.49
46000.0,449.0
47000.0,19.08
48000.0,523.1
49000.0,12.99
50000.0,454.46999999999997
51000.0,12.99
52000.0,475.47
53000.0,5.33
54000.0,495.2
55000.0,1863.05
56000.0,357.28000000000003
57000.0,4.67
58000.0,470.1
59000.0,4.5
60000.0,632.6700000000001
62000.0,799.1
65000.0,347.82
66000.0,0.4
68000.0,25.0
70000.0,1027.74
72000.0,25.0
74000.0,25.1
75000.0,363.7
80000.0,360.94
85000.0,448.91
86000.0,0.2
90000.0,720.88
95000.0,227.71
100000.0,400.09
105000.0,318.89000000000004
110000.0,496.94
115000.0,4.52
120000.0,300.93
125000.0,7.0
130000.0,268.14
140000.0,384.46000000000004
150000.0,0.7
160000.0,395.26
180000.0,29.45
200000.0,5.18
220000.0,8.32
240000.0,110.83
10000.0,279.5
15000.0,68.5
20000.0,130.52
25000.0,230.91
30000.0,152.91
32000.0,89.3
34000.0,114.8
35000.0,185.70999999999998
36000.0,105.8
38000.0,132.47
40000.0,181.57
41000.0,1.38
42000.0,147.31
43000.0,0.02
44000.0,227.86
45000.0,131.05
46000.0,354.53
48000.0,548.71
49000.0,0.1
50000.0,700.65
52000.0,1022.45
53000.0,0.07
54000.0,994.5
55000.0,905.54
56000.0,604.01
58000.0,505.40999999999997
59000.0,0.05
60000.0,498.22
61000.0,0.02
62000.0,131.25
63000.0,0.02
64000.0,0.4
65000.0,548.65
66000.0,1.3
68000.0,0.1
70000.0,441.84000000000003
72000.0,261.2
74000.0,0.3
75000.0,276.89
78000.0,0.2
80000.0,260.51
82000.0,0.1
84000.0,0.2
85000.0,111.38
86000.0,7.3
88000.0,0.8
90000.0,332.13
95000.0,206.96
100000.0,388.5
105000.0,158.93
110000.0,326.52000000000004
115000.0,0.39
120000.0,435.73
125000.0,0.13
130000.0,246.59
135000.0,0.48
140000.0,335.58
150000.0,81.8
160000.0,217.42000000000002
170000.0,3.0
180000.0,239.17000000000002
200000.0,30.81
220000.0,18.61
240000.0,32.43
260000.0,2.15
20000.0,95.7
25000.0,0.2
30000.0,60.1
40000.0,76.11
45000.0,0.43000000000000005
46000.0,0.1
50000.0,108.7
54000.0,25.8
56000.0,0.2
58000.0,51.4
60000.0,84.14
65000.0,5.0
68000.0,28.7
70000.0,55.14
74000.0,75.0
75000.0,1.6700000000000002
80000.0,204.18
82000.0,0.1
84000.0,0.1
85000.0,282.8
86000.0,0.6
88000.0,0.5
90000.0,103.36999999999999
95000.0,1.09
100000.0,190.88
110000.0,214.62
120000.0,146.24
130000.0,206.14000000000001
140000.0,230.88
150000.0,207.51999999999998
160000.0,130.72
170000.0,6.4
180000.0,42.800000000000004
200000.0,108.78999999999999
220000.0,37.120000000000005
240000.0,28.47
260000.0,8.950000000000001
280000.0,11.42
300000.0,1.1
320000.0,0.51
340000.0,0.01
360000.0,0.45
380000.0,10.450000000000001
420000.0,0.52
440000.0,0.01
460000.0,30.0
480000.0,35.0
500000.0,70.0
520000.0,50.01
560000.0,27.09
