strikes,ois
35000.0,14.98
40000.0,130.35
44000.0,28.7
45000.0,59.29
46000.0,12.49
48000.0,17.23
50000.0,308.71999999999997
52000.0,46.02
53000.0,2.8299999999999996
54000.0,74.44999999999999
55000.0,36.01
56000.0,18.74
57000.0,11.73
58000.0,67.30000000000001
59000.0,9.9
60000.0,64.84
61000.0,9.3
62000.0,44.239999999999995
62500.0,3.0
63000.0,4.2
64000.0,4.84
64500.0,1.0
65000.0,56.85
65500.0,2.95
66000.0,18.22
67000.0,17.25
67500.0,2.0
68000.0,44.47
68500.0,1.0
69000.0,6.289999999999999
70000.0,64.21
71000.0,1.3
72000.0,7.5200000000000005
73000.0,0.01
74000.0,0.3
75000.0,15.72
76000.0,1.6
78000.0,8.55
79000.0,15.0
80000.0,4.47
82000.0,13.98
85000.0,3.2
86000.0,0.2
87000.0,2.0
90000.0,281.6
91000.0,2.0
93000.0,2.0
94000.0,2.0
95000.0,25.0
100000.0,2.9
105000.0,7.59
35000.0,5.57
40000.0,20.12
45000.0,12.39
50000.0,15.040000000000001
52000.0,10.63
54000.0,49.21
56000.0,27.150000000000002
58000.0,12.21
60000.0,28.490000000000002
62000.0,27.78
64000.0,11.97
66000.0,14.94
68000.0,14.02
70000.0,11.23
72000.0,9.120000000000001
74000.0,7.68
75000.0,5.0
76000.0,15.18
78000.0,7.29
80000.0,13.29
84000.0,1.5
95000.0,3.0
110000.0,6.0
5000.0,37.93
10000.0,421.5
15000.0,303.8
18000.0,3.76
19000.0,24.24
20000.0,169.79
21000.0,4.69
22000.0,4648.06
23000.0,5.88
24000.0,268.16
25000.0,237.1
26000.0,265.76
27000.0,2.96
28000.0,338.15
29000.0,0.72
30000.0,4547.839999999999
31000.0,1.44
32000.0,571.23
33000.0,2.03
34000.0,620.81
35000.0,511.59000000000003
36000.0,752.33
37000.0,14.92
38000.0,708.3199999999999
39000.0,1.62
40000.0,460.86
41000.0,1.33
42000.0,711.17
43000.0,7.42
44000.0,790.3
45000.0,747.02
46000.0,465.84000000000003
47000.0,1.05
48000.0,968.2300000000001
49000.0,11.99
50000.0,462.59999999999997
51000.0,7.58
52000.0,425.33000000000004
53000.0,6.91
54000.0,190.2
55000.0,293.06
56000.0,332.16999999999996
57000.0,8.08
58000.0,479.7
59000.0,8.37
60000.0,441.79
62000.0,206.6
65000.0,502.58
68000.0,12.6
70000.0,625.74
72000.0,0.1
75000.0,398.73
80000.0,271.25
85000.0,188.08
90000.0,384.22
95000.0,221.3
100000.0,470.28999999999996
105000.0,87.64
110000.0,269.08
115000.0,4.279999999999999
120000.0,181.83
125000.0,10.0
130000.0,135.64
140000.0,98.81
160000.0,111.4
200000.0,0.01
10000.0,121.7
15000.0,137.55
20000.0,87.92
25000.0,1433.9299999999998
28000.0,0.22
29000.0,2.21
30000.0,137.72
31000.0,0.01
32000.0,360.66
34000.0,402.13
35000.0,625.6899999999999
36000.0,523.59
38000.0,317.59
39000.0,0.01
40000.0,1884.79
41000.0,1.74
42000.0,761.32
44000.0,621.22
45000.0,473.15000000000003
46000.0,428.56
48000.0,732.61
49000.0,0.01
50000.0,570.5
52000.0,811.05
54000.0,346.3
55000.0,1582.35
56000.0,651.12
57000.0,0.4
58000.0,146.03
59000.0,1.32
60000.0,465.85
62000.0,269.0
64000.0,3.0
65000.0,195.04000000000002
66000.0,1.0
68000.0,4.1
70000.0,359.42
75000.0,337.1
78000.0,0.1
80000.0,237.3
82000.0,0.1
84000.0,12.1
85000.0,122.61
86000.0,0.1
90000.0,346.83000000000004
95000.0,57.800000000000004
100000.0,408.45
105000.0,19.2
110000.0,180.57
120000.0,107.28999999999999
130000.0,122.02
140000.0,118.36
150000.0,57.5
160000.0,76.22
170000.0,0.1
180000.0,152.81
190000.0,2.7
200000.0,0.01
10000.0,23.27
20000.0,66.48
30000.0,38.07
35000.0,4.0
40000.0,264.37
45000.0,69.41
50000.0,457.66
55000.0,0.87
60000.0,877.18
64000.0,0.5
68000.0,0.1
70000.0,801.59
75000.0,3.16
80000.0,584.0899999999999
85000.0,243.8
90000.0,274.53
95000.0,0.07
100000.0,146.03
110000.0,122.89
120000.0,337.62
130000.0,323.6
140000.0,253.95999999999998
150000.0,194.92
160000.0,252.0
180000.0,221.5
200000.0,136.01
220000.0,0.01
